run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
1 5817.220 0.130 1.630 0.364 0.440 10.170 1421.364 0.283 2.254 0.250 34.796 1363.960 0.185 -19.485 11
1 5815.574 0.149 1.165 0.328 0.499 10.036 1516.657 0.305 2.019 0.251 35.525 1214.871 0.417 -20.639 6
1 4996.050 0.148 1.091 0.343 0.495 9.967 1627.203 0.294 1.976 0.250 35.378 1321.078 0.455 -18.19 4
1 5000.281 0.152 1.991 0.344 0.495 10.068 1631.099 0.293 2.020 0.251 35.359 1201.823 0.217 2.049 3
1 4999.826 0.148 2.015 0.355 0.495 10.037 1462.878 0.294 1.976 0.250 34.896 1363.056 0.101 3.938 3
1 5005.198 0.149 1.156 0.343 0.499 10.036 1630.289 0.293 2.032 0.251 35.414 1201.716 0.422 -8.01 4
1 5003.764 0.148 1.097 0.343 0.495 9.944 1631.100 0.294 2.020 0.251 35.370 1204.438 0.452 -18.184 4
1 5839.105 0.132 1.373 0.341 0.504 9.921 1514.354 0.294 2.022 0.251 34.749 1272.747 0.314 -20.092 8
1 6388.969 0.134 1.535 0.343 0.489 10.073 1414.484 0.294 2.395 0.251 34.744 1202.275 0.278 -19.74 7
1 5113.922 0.149 1.784 0.343 0.462 10.071 1462.878 0.314 2.006 0.254 34.722 1330.850 0.113 2.489 8
1 5000.297 0.148 1.219 0.346 0.495 9.968 1624.762 0.299 1.971 0.251 35.492 1246.577 0.39 -7.282 4
1 4997.871 0.149 1.772 0.344 0.501 9.971 1533.801 0.298 1.981 0.249 35.400 1297.898 0.145 -1.034 4
1 5000.285 0.148 1.625 0.354 0.495 9.950 1631.148 0.293 2.020 0.251 35.359 1201.823 0.217 -5.71 4
1 5644.526 0.152 1.777 0.345 0.501 10.071 1496.865 0.300 2.017 0.250 35.395 1321.776 0.129 -18.67 5
1 4998.590 0.148 1.826 0.355 0.495 10.036 1462.878 0.294 1.976 0.250 34.896 1342.078 0.105 2.994 4
1 5113.413 0.148 1.825 0.355 0.495 10.036 1462.878 0.312 1.976 0.254 34.896 1342.078 0.105 2.498 7
1 5089.537 0.152 1.780 0.345 0.496 10.074 1492.185 0.306 2.019 0.260 35.336 1327.524 0.115 1.921 6
1 5089.537 0.148 1.773 0.346 0.491 10.071 1492.185 0.306 2.018 0.251 35.336 1327.524 0.115 1.953 5
1 5120.940 0.153 1.772 0.355 0.504 9.671 1466.812 0.306 1.985 0.246 35.354 1332.114 0.115 1.872 7
