run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
1 5978.511 0.145 1.125 0.362 0.511 11.202 1342.468 0.296 2.048 0.256 35.374 1500.950 0.438 -21.259 4
1 5020.724 0.154 1.938 0.345 0.510 9.978 1345.131 0.290 2.045 0.257 35.546 1502.243 0.121 4.508 1
1 4725.263 0.154 1.938 0.345 0.512 9.985 1345.896 0.284 2.046 0.257 33.986 1502.243 0.072 6.854 2
1 5611.711 0.138 1.767 0.334 0.511 10.001 1439.354 0.290 2.044 0.261 35.369 1313.769 0.124 -4.422 8
1 5802.657 0.154 1.345 0.335 0.555 9.690 1556.573 0.295 1.918 0.247 35.050 1505.352 0.328 -19.892 7
1 5724.873 0.154 1.726 0.335 0.512 11.470 1549.500 0.295 2.009 0.247 35.540 1299.605 0.156 -6.163 6
1 5977.442 0.151 1.542 0.336 0.523 11.646 1343.556 0.295 2.040 0.246 35.051 1236.103 0.229 -19.768 5
1 5680.921 0.151 1.732 0.347 0.511 11.086 1488.287 0.295 1.950 0.265 35.399 1301.525 0.136 -18.852 7
1 5020.724 0.145 1.134 0.344 0.510 9.992 1343.077 0.295 2.042 0.257 35.377 1499.909 0.433 2.273 2
1 5007.664 0.147 1.198 0.362 0.499 9.981 1343.400 0.295 1.958 0.257 35.376 1502.243 0.401 2.578 2
1 4994.510 0.147 1.941 0.361 0.512 9.985 1341.168 0.284 2.046 0.257 34.083 1502.021 0.075 5.525 1
1 5629.792 0.155 1.679 0.335 0.499 9.980 1345.290 0.290 1.956 0.248 35.467 1505.317 0.16 -19.334 3
1 5374.631 0.138 1.771 0.350 0.511 9.749 1342.468 0.296 1.870 0.256 35.366 1347.884 0.116 -2.705 7
1 5367.307 0.149 1.803 0.345 0.515 9.846 1435.489 0.296 2.046 0.248 34.309 1396.214 0.099 2.684 5
1 5380.012 0.138 1.849 0.352 0.495 9.745 1342.881 0.296 2.071 0.257 34.366 1395.821 0.084 3.009 6
1 5386.470 0.156 1.847 0.335 0.512 9.971 1340.493 0.290 2.019 0.247 34.083 1512.790 0.077 4.103 4
1 5393.159 0.156 1.892 0.344 0.510 9.985 1345.970 0.295 2.042 0.247 34.102 1499.909 0.079 4.334 3
1 5370.455 0.138 1.769 0.362 0.511 11.202 1342.468 0.296 2.047 0.256 35.374 1347.884 0.12 -0.664 6
1 5724.713 0.144 1.625 0.335 0.504 9.949 1342.817 0.295 1.955 0.254 35.550 1209.871 0.193 -19.59 4
1 5374.400 0.138 1.769 0.350 0.511 11.178 1342.468 0.296 2.044 0.256 35.374 1347.884 0.118 1.847 6
1 5016.587 0.144 1.183 0.362 0.510 9.972 1342.450 0.295 1.952 0.256 35.549 1509.267 0.408 2.355 2
1 5370.455 0.138 1.769 0.362 0.507 10.013 1342.468 0.296 2.043 0.256 35.545 1336.863 0.121 -2.084 5
1 4994.510 0.147 1.932 0.344 0.512 9.985 1341.212 0.283 2.042 0.257 34.952 1502.021 0.103 4.964 1
