run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
1 6279.207  0.117  1.299  0.353  0.525  9.626  1566.544  0.337  2.047  0.214  33.638  1269.116  0.351 -12.816 11
1 6319.182  0.130  1.002  0.347  0.558  9.360  2019.781  0.430  2.063  0.253  34.135  1229.429  0.507 -14.228 10
1 6258.518  0.141  1.029  0.263  0.497  11.264  1445.313  0.215  2.045  0.273  34.949  1343.862  0.486 -14.356 11
1 6219.010  0.159  1.077  0.326  0.324  10.492  1533.753  0.306  1.440  0.288  32.408  1399.284  0.462 -13.321 11
1 5759.345  0.165  1.484  0.352  0.422  8.449  1347.112  0.390  1.296  0.274  35.395  1502.675  0.352 -9.42 9
1 5445.113  0.147  1.757  0.363  0.547  8.873  1519.536  0.307  1.877  0.203  31.817  1261.381  0.188 2.922 10
1 5389.234  0.136  1.799  0.391  0.486  11.220  1550.871  0.350  2.201  0.294  33.848  1349.860  0.176 2.068 12
1 5945.561  0.179  1.014  0.326  0.434  11.252  1641.282  0.264  2.626  0.279  33.856  1373.524  0.493 -20.118 12
1 5619.727  0.135  1.749  0.360  0.396  10.391  1393.839  0.289  1.688  0.206  34.918  1622.698  0.208 1.794 11
1 6071.987  0.152  1.255  0.328  0.419  10.189  1349.416  0.299  2.082  0.259  34.166  1212.535  0.373 -11.104 10
1 5381.051  0.142  2.340  0.325  0.456  10.061  1553.224  0.301  2.172  0.250  34.589  1294.019  0.17 5.057 9
1 5743.175  0.175  1.946  0.285  0.499  10.983  1510.840  0.313  2.144  0.279  34.941  1290.894  0.186 2.808 11
1 6038.221  0.157  1.194  0.343  0.375  10.748  1861.196  0.311  1.265  0.220  35.279  1430.173  0.403 -12.737 10
1 5795.882  0.101  2.015  0.352  0.491  9.314  1683.482  0.290  2.478  0.222  35.249  1201.929  0.327 -4.315 8
1 5455.811  0.154  1.658  0.332  0.468  10.220  1595.993  0.342  1.583  0.246  35.216  1380.006  0.209 -7.452 12
1 6143.070  0.125  1.223  0.350  0.499  10.204  1538.673  0.287  2.683  0.233  32.929  1591.955  0.388 -11.243 10
1 6243.842  0.109  1.396  0.241  0.483  10.194  1344.315  0.220  2.012  0.299  34.775  1537.867  0.311 -10.228 10
1 6118.375  0.176  1.002  0.344  0.508  9.928  2090.743  0.246  2.863  0.299  32.964  1759.952  0.56 -10.258 9
1 5590.643  0.172  1.580  0.347  0.355  9.943  1707.966  0.257  1.563  0.209  33.651  1204.450  0.29 -7.921 10
1 4712.527  0.155  2.022  0.354  0.455  10.626  1440.299  0.298  2.319  0.247  35.180  1795.244  0.197 6.632 8
1 6071.377  0.124  1.553  0.352  0.556  10.788  1406.657  0.349  2.303  0.277  35.374  1209.766  0.224 -8.99 11
1 5594.479  0.149  1.953  0.356  0.504  8.583  1534.937  0.258  1.602  0.295  34.974  1330.241  0.199 1.804 9
1 5761.726  0.117  1.470  0.280  0.549  10.063  1636.661  0.270  1.510  0.237  35.281  1342.516  0.265 -11.518 11
1 6124.780  0.149  1.134  0.213  0.560  11.757  1891.898  0.261  1.395  0.247  34.584  1410.765  0.433 -13.119 10
